Id,SalePrice
1461,122438.12812901114
1462,163511.70609515437
1463,178163.69292287735
1464,196511.73926190974
1465,182660.91295566
1466,174996.3785803138
1467,170763.06471270983
1468,166566.65431573076
1469,206771.7987754836
1470,130709.95748520916
1471,184979.7321194474
1472,91969.49637057848
1473,100226.49850785143
1474,148526.44671431283
1475,132583.46605973967
1476,409553.9495532431
1477,249572.26870612145
1478,307251.5256293533
1479,284071.81673485856
1480,512919.2085415842
1481,321325.30927653785
1482,206877.29202019967
1483,163853.88887017575
1484,155629.05896314332
1485,171999.87671529982
1486,196747.73950881526
1487,316177.1248638866
1488,229630.30872752398
1489,192861.02102744297
1490,228266.77760946628
1491,184413.63447719844
1492,107602.16268940752
1493,176486.05093057238
1494,281812.1630222344
1495,294510.14944939443
1496,249188.2570580388
1497,183246.5753919886
1498,158114.31673119933
1499,151717.2601164775
1500,153215.66809832898
1501,170524.70089155648
1502,150347.42145479217
1503,248562.30758554733
1504,242039.99979929777
1505,236919.18626151996
1506,202451.63108836336
1507,257951.58085812698
1508,193752.7936244641
1509,153829.16379165647
1510,144072.9409373043
1511,144645.7566998823
1512,170912.55962733543
1513,134586.11895620765
1514,154906.94066732397
1515,202552.41135262477
1516,141545.39645974373
1517,167521.0674706412
1518,132657.23058967118
1519,203345.5983929376
1520,140880.4289641524
1521,144948.86557197047
1522,167588.55320716245
1523,116733.41525245586
1524,119312.6806651003
1525,128876.67599871548
1526,121355.4122191732
1527,103002.48966775212
1528,145639.4089150561
1529,149751.95665152368
1530,149060.28157728387
1531,100734.34183468307
1532,101731.21695429577
1533,137289.49790028893
1534,132471.54355161262
1535,137085.62716183072
1536,110209.05160144866
1537,79103.78937530737
1538,153331.5951505071
1539,191052.08076612034
1540,98620.53470768128
1541,136096.6481120309
1542,132914.93727873178
1543,194645.06184733348
1544,78975.86017643819
1545,115192.10737431723
1546,134001.39323284157
1547,123449.19647417746
1548,141540.21641277923
1549,100844.98585301756
1550,141739.49221858155
1551,106844.18303000032
1552,130609.38349748687
1553,136506.31989601298
1554,114756.80254681615
1555,174749.16631992816
1556,106943.64073682342
1557,109189.39791606196
1558,89689.5495343856
1559,80172.51617081142
1560,124841.78961090709
1561,136550.71900394742
1562,125834.1770127232
1563,120833.46030705614
1564,162334.3934443268
1565,146727.67742342796
1566,232327.21987715765
1567,74954.51495351669
1568,238987.13259832404
1569,127126.94892105194
1570,140222.50649402296
1571,124737.34119177586
1572,141740.73999677677
1573,237570.06523044096
1574,105539.29760369088
1575,227316.32047873264
1576,226874.7428528138
1577,183103.04070283202
1578,142382.6171776853
1579,137739.40881204722
1580,191679.76534011136
1581,162721.22817659625
1582,128807.49773047588
1583,317642.1041347365
1584,234821.443659324
1585,138523.1187977357
1586,55975.43603670875
1587,103856.43380319602
1588,158243.65891668812
1589,111649.45874341279
1590,137041.8332340441
1591,100945.84530618954
1592,110265.00039121424
1593,132896.06534288995
1594,137439.81258462335
1595,109045.11365930481
1596,223723.35370609377
1597,193885.17281263229
